business_name,address,inspection_date,years_alive
"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC",1001 N MILWAUKEE AVE ,07/10/2012,0
"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC.",1001 N MILWAUKEE AVE ,07/10/2012,0
"SUNNY EAST VILLAGE DAY CARE & PRESCHOOL, INC.",1001 N MILWAUKEE AVE ,07/10/2012,0
"MID-TOWN FOOD MARKET, INC.",1001 N PULASKI RD ,08/31/2015,2
NICK'S FOOD & LIQUOR LTD,1001 N PULASKI RD ,08/31/2015,0
FAT DADDY STORE,1001 N PULASKI RD ,08/16/2012,3
"S.B.L., INC.",1001 W 45TH ST ,11/04/2010,0
FADI #3 MINI MART & DELI,1001 W 59TH ST ,10/20/2014,2
J J PEPPERS,1001 W BELMONT AVE ,04/22/2010,4
OMAHA STEAKS,1001 W NORTH AVE ,05/15/2013,2
VILLAGE LEADERSHIP ACADEMY,1001 W ROOSEVELT RD ,03/21/2016,1
GILCHRIST MARCHMAN HEAD START,1001 W ROOSEVELT RD ,10/08/2013,0
WRONGS,10012-10014 S WESTERN AVE ,12/05/2013,2
L.C. QUICK BITES,10018 S WESTERN AVE ,11/19/2012,3
WESTSIDE GRILL,1002 N CICERO AVE ,09/16/2016,0
WEST SIDE GRILL & GROCERY,1002 N CICERO AVE ,11/15/2016,0
WESTSIDE GRILL,1002 N CICERO AVE ,05/12/2014,0
TALK UNIQUE INC.,1002 W 63RD ST ,12/30/2010,1
MASALA,1002 W ARGYLE ST ,05/16/2012,2
HING LUNG RESTAURANT,1002 W ARGYLE ST ,11/24/2010,2
"BEYOND THE IVY, INC",1006-1010 W WAVELAND AVE ,06/28/2011,3
WINDY FOOD MART INC.,1007 W 63RD ST ,09/04/2012,5
NORTH GARDEN,1007 W ARGYLE ST ,02/19/2014,0
XONG XONG EXPRESS,1007 W ARGYLE ST ,12/05/2012,1
NHA TRANG RESTAURANT,1007 W ARGYLE ST ,12/05/2012,0
CHINESE KITCHEN,1007 W ARGYLE ST ,07/16/2010,2
JA' GRILL,1008 W ARMITAGE AVE ,09/10/2014,0
JA' GRILL,1008 W ARMITAGE AVE ,09/10/2013,1
PAKEEZA,1009-1011 N ORLEANS ST ,02/03/2015,0
PS CHICAGO,1009-1011 N RUSH ST ,08/27/2012,0
JILLY'S SINGAPORE INN,1009-1011 N RUSH ST ,08/21/2012,0
CHURCH'S CHICKEN # 478,101 E 35TH ST ,01/28/2010,2
SHARKS FISH & CHICKEN,101 E 51ST ST ,01/12/2015,1
DRAFTFCB,101 E ERIE ST ,04/07/2014,0
ARAMARK at DRAFTFCB,101 E ERIE ST ,06/18/2013,1
PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,02/20/2015,2
MID-CITY CARDS & GIFTS,101 N WACKER DR ,10/16/2012,3
EMILS,101 N WACKER DR ,10/16/2012,0
WHITE HEN PANTRY #0-88154-4,101 S CLINTON ST ,10/15/2012,0
"PERRY FOOD, INC.",101 W 107TH ST ,06/25/2012,0
AMIGOS DISCOUNT STORE,101 W 107TH ST ,06/20/2012,0
7 ELEVEN #35015H,101 W DIVISION ST ,06/04/2012,5
DUNKIN DONUTS,101 W DIVISION ST ,06/04/2012,0
DUNKIN DONUTS,101 W DIVISION ST ,08/16/2011,1
THE ORIGINAL MITCHELL'S,101 W NORTH AVE ,09/12/2012,0
THE ORIGINAL MITCHELL'S,101 W NORTH AVE ,10/18/2011,1
SUNRISE FIT CLUB,1010 N ASHLAND AVE ,12/05/2013,3
"SODEXO AMERICA, LLC",1010 N NOBLE ST ,04/19/2012,1
SAM'S QUICK STOP,1010 S WESTERN AVE ,03/20/2012,2
PHO TAU BAY,1010 W ARGYLE ST ,08/27/2012,2
CAFE HOANG,1010 W ARGYLE ST ,02/27/2012,0
Le Peep Restaurant,1010 W WASHINGTON BLVD ,09/25/2012,0
Le Peep Restaurant,1010 W WASHINGTON BLVD ,08/20/2010,2
LIEUTENANT BAYLOR,10100 S HALSTED ST ,07/22/2010,4
FORNELLO TRATTORIA,1011 W IRVING PARK RD ,01/21/2016,1
ST HELENA OF THE CROSS,10115 S PARNELL ST ,09/13/2012,1
MUNCHIES ON LARRABEE,1012 N LARRABEE ST ,12/20/2013,0
M & D GROCERY STORE,1012 W 31ST ST ,08/09/2013,0
RICH MINI MART,1012 W 31ST ST ,08/09/2013,0
EXPRESS GROCERY STORE,1012 W 31ST ST ,08/09/2013,0
LITTLE LAMB SCHOLASTIC ACADEMY,10126 S WESTERN AVE ,03/28/2012,0
LITTLE LAMB  SCHOLASTIC ACADEMY,10126 S WESTERN AVE ,04/05/2011,1
CREPERIE DE PARIS,1013 W Webster AVE ,11/02/2016,2
HAROLD'S CHICKEN SHACK,1014 S WESTERN AVE ,03/17/2017,0
SUBWAY,1014 S WESTERN AVE ,08/01/2014,0
LAWRENCE MARKET CO,1014 W LAWRENCE AVE ,11/09/2010,2
TAMALESY RESTAURANT COSTA GRANDE,10148 S EWING AVE ,04/07/2015,0
TAQUERIA SACRAMENTO,10148 S EWING AVE ,09/13/2013,0
TAQUERIA GONZALEZ,10148 S EWING AVE ,07/30/2012,1
TAQUERIA SACRAMENTO,10148 S EWING AVE ,07/30/2012,0
LOT'S OF LOVE COMMUNITY CENTER,1015 W 79TH ST ,01/26/2011,1
DOLLAR & DRAPERY MART,1015 W 87TH ST ,10/18/2011,6
MAKOLA AFRICAN SUPERMART,1017 W WILSON AVE ,01/13/2015,0
"OMAR'S CONVENIENT STORE, INC.",1019 E 82ND ST ,10/19/2015,2
"OMAR'S CONVENIENT STORE, INC.",1019 E 82ND ST ,10/09/2015,0
SAM'S SUPERMARKET,1019 E 82ND ST ,10/09/2015,0
CAFE NHU HOA,1020 W ARGYLE ST ,02/29/2012,0
PHO XUA RESTAURANT INC.,1020 W ARGYLE ST ,06/07/2012,0
SUBWAY,1020 W BELMONT AVE ,12/03/2014,0
ALBANY PARK COMMUNITY CENTER,1020 W BRYN MAWR AVE ,02/15/2012,4
HERITAGE OUTPOST LAWRENCE HOUSE LLC,1020 W LAWRENCE AVE ,10/13/2016,1
GALLISTEL LANGUAGE ACADEMY,10200 S AVENUE J ,01/21/2016,1
KENTUCKY FRIED CHICKEN,10200 S HALSTED ST ,04/22/2016,1
KENTUCKY FRIED CHICKEN 521043,10200 S HALSTED ST ,03/03/2016,0
LA JOYA,10203 S COMMERCIAL AVE ,07/02/2010,3
WEST TOWN DELI,1021 N Western AVE ,06/19/2015,2
West Town Deli,1021 N Western AVE ,02/04/2014,1
HEINZE LIQUORS,1021 W MONTROSE AVE ,11/01/2016,0
STARBUCKS,10210 S CENTRAL PARK AVE ,10/13/2011,5
ANDRZEJ GRILL INC,1022 N WESTERN AVE ,09/23/2010,4
DOCTOR'S CARIBBEAN CUISINE.,10226 S HALSTED ST ,10/25/2012,0
DOCTOR'S CARIBBEAN CUISINE.,10226 S HALSTED ST ,10/25/2012,0
DOCTOR C'S CARIBBEAN CUISINE,10226 S HALSTED ST ,10/25/2012,0
VERA,1023 W LAKE ST ,10/28/2016,1
RUSHMORE,1023 W LAKE ST ,10/28/2013,1
BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
BEIJING GARDEN,1023 W WILSON AVE ,12/07/2012,0
BEIJING GARDEN,1023 W wilson AVE ,06/24/2010,2
Tesfa Ethiopian Cusine,1023-1025 W WILSON AVE ,03/18/2016,1
LAKE LANGANO ETHIOPIAN-CHINE,1023-1025 W WILSON AVE ,01/25/2012,4
MONTESSORI ACDY. INFT/TOD. CNT,10232-10234 S HALSTED ST ,09/04/2013,3
RESTAURANT VENENO DE NAYARIT,1024 N ASHLAND AVE ,10/18/2012,0
THE BOBA TEAHOUSE,1024 W ARGYLE ST ,04/02/2015,0
PUPUSERIA EL EXCELENTE,10244 S EWING AVE ,06/06/2011,2
BOB & JACK'S PIZZA INC,10244 S EWING AVE ,03/15/2010,1
THAI SUPER CHEF,1025 W LAWRENCE AVE ,09/28/2011,1
UPTOWN DOLLAR & GROCERY,1025 W WILSON AVE ,11/19/2014,0
SUGAR SHACK PLUS,10255 S ST LAWRENCE AVE ,06/05/2013,2
DAVID CASTANEDA,10258 S EWING AVE ,07/29/2015,2
