business_name,address,inspection_date,years_alive
ST GREGORY HIGH SCHOOL,1677 W BRYN MAWR AVE ,05/12/2011,2
WELLS STREET RESTAURANTS LLC,169 W KINZIE ST ,02/28/2013,1
GOOD CHEF PRODUCTS,17 E 23RD ST ,01/19/2012,0
FRESHII,17 E MONROE ST ,12/11/2015,1
Palmer House Hilton,17 E MONROE ST ,12/05/2012,0
GINZA RESTAURANT,17 E OHIO ST ,09/24/2013,1
YIU SHAN RESTAURANT INC,17 E OHIO ST ,11/18/2011,1
LA BAMBA,17 S WABASH AVE ,03/14/2016,0
G GYROS,17 S WABASH AVE ,07/08/2016,0
POPEYES CHICKEN,17 S WABASH AVE ,08/19/2015,1
FALAFEL EXPRESS,17 S WABASH AVE ,03/20/2013,2
SUBWAY #23340,17 S WABASH AVE ,12/13/2013,0
"CHICAGO BEEF, BURGER & DOGS",17 S WABASH AVE ,09/10/2013,0
CITY SUB AND PIZZA,17 S WABASH AVE ,04/05/2013,0
GOLD COAST DOGS,17 S WABASH AVE ,04/05/2013,0
SUBWAY,17 S WABASH AVE ,04/05/2013,0
CHEN'S CHINESES EXPRESS,17 S WABASH AVE ,09/20/2012,1
TACO BURRITO ON WABASH,17 S WABASH AVE ,12/12/2011,1
ZACATACOS,17 S WABASH AVE ,08/23/2010,1
MOTHER BUTTER'S POPCORN AND CONFECTIONARY,17 W 35TH ST ,09/02/2015,0
"CARLYN BERGHOFF CATERING, INC.",17 W ADAMS ST ,04/10/2013,3
DISTRICT,170 W ONTARIO ST ,10/20/2011,2
PERSONA WOOD FIRE PIZZERIA,170 W WASHINGTON ST ,07/07/2016,1
RUBY OF SIAM,170 W WASHINGTON ST ,08/30/2012,3
SILVER CLOUD,1700 N DAMEN AVE ,01/09/2012,5
PALASIO POOL HALL,1700 S HALSTED ST ,11/13/2014,0
LA SORPRESA GROCERY STORE INC,1700 S LOOMIS ST ,12/02/2013,0
LOS SALTOS ICE CREAM SHOP,1700 W 19TH ST ,03/19/2015,1
Dari's Tacos,1700 W 47TH ST ,11/04/2014,0
PAULINA FOOD MARKET,1700 W 63RD ST ,12/11/2014,0
POC CHUC,1700 W CERMAK RD ,05/27/2011,1
Carriage House,1700 W DIVISION ST ,08/20/2015,2
GREEN AESTHETICS INC.,1701 N PULASKI RD ,10/10/2014,2
GHAZZEL TOBACCO,1701 N PULASKI RD ,04/01/2014,0
ONE STOP FOOD,1701 W 79TH ST ,05/30/2014,4
ONE STOP FOODS OF PAULINA,1701 W 79TH ST ,05/24/2012,2
BURGER KING #7623,1701 W 95TH ST ,02/20/2015,0
TOT EXPRESS LEARNING CENTER,1702 E 87TH ST ,05/27/2014,0
HAPPY LIFE,1702 W 47TH ST ,12/12/2011,3
TOTS EXPRESS LEARNING CENTER,1703 - 1707 E 87TH ST ,12/20/2016,0
TOTS EXPRESS LEARNING CENTER,1703 - 1707 E 87TH ST ,11/30/2012,3
EL PARIENTE TAQUERIA,1703 N PULASKI RD ,08/22/2013,1
Leo's Restaurant,1703 N PULASKI RD ,10/16/2012,1
TAQUERIA EL BURRITO MEXICAN GRILL,1703 N PULASKI RD ,08/15/2012,0
CLARKE'S ON DAMEN,1704 N DAMEN AVE ,07/07/2011,2
SUBWAY,1704 N MILWAUKEE AVE ,06/11/2012,3
ALWAYS OPEN - SUBWAY,1704 N MILWAUKEE AVE ,06/11/2012,0
BLOCKBUSTER VIDEO #17394,1704 N MILWAUKEE AVE ,10/11/2011,1
TAKOS KOREANOS,1706-1708 W FOSTER AVE ,09/05/2014,3
D' S HOUSE,1708 W 63RD ST ,04/13/2010,6
TAQUERIA  UPTOWN,1708 W LAWRENCE AVE ,09/18/2014,2
HAROLD'S CHICKEN SHACK #10,1709 E 87TH ST ,09/13/2011,5
SOUTHERN SOUL FISH & CHICKEN,1709 E 87th ST STE ,06/05/2012,2
CHICAGO MATH-SCIENCE ACADEMY,1709 W LUNT ,07/17/2014,0
CURRIED,171 N WELLS ST ,11/18/2014,1
DELIGHTFUL  PASTRIES,1710 N WELLS ST ,03/21/2012,5
TO YOUR HEALTH WITH LOVE,1711 E 87TH ST ,06/26/2013,1
BROTHER TIM'S VEGETARIAN FAST FOOD,1711 E 87TH ST ,08/18/2010,3
3GS BBQ RESTAURANT,1713 E 75TH ST ,04/18/2014,0
THREE J'S BBQ & RESTAURANT,1713 E 75TH ST ,04/10/2013,0
XTY'S RESTAURANT,1713 E 79TH ST ,11/18/2015,2
FARAFINA'S INC.,1713 E 79TH ST ,05/21/2014,1
SAYA'S SOUL FOOD RESTAURANT,1713 E 79TH ST ,11/20/2013,1
WESLEY' S PLACE,1713 E 79TH ST ,11/20/2013,0
CONNIES PLACE,1713 E 79TH ST ,11/19/2013,0
LUCIANO'S #2,1714 W 18TH ST ,11/25/2016,1
FRESH CASITA,1714 W LAWRENCE AVE ,04/29/2013,2
SUPERMERCADO GARIBALDI,1714 W LAWRENCE AVE ,12/03/2013,0
SUPERMERCADO GARIBALDI,1714 W LAWRENCE AVE ,12/13/2012,0
SUPERMERCADO GARIBALDI,1714 W LAWRENCE AVE ,03/12/2012,0
SUPERMERCADO GARIBALDI,1714 W LAWRENCE AVE ,06/30/2011,1
YUZU,1715 W CHICAGO AVE ,10/24/2014,1
W CHICAGO CITY CENTER,172 W ADAMS ST ,10/07/2011,1
BORINQUEN  RESTAURANT,1720 N CALIFORNIA AVE ,06/17/2014,0
BORNIQUEN RESTAURANT,1720 N CALIFORNIA AVE ,06/20/2011,1
BORNIQUEN RESTAURANT,1720 N CALIFORNIA AVE ,06/14/2010,1
PANADERIA  ARTEMARI,1720 W 18TH ST ,03/04/2011,0
CAFE CREME,1721 N DAMEN AVE ,07/17/2014,1
GRASS FED,1721 N DAMEN AVE ,09/23/2013,1
CAFFE DE LUCA,1721 N DAMEN AVE ,11/15/2011,1
SLICKER SAM'S ON HALSTED,1723 N HALSTED ST ,11/30/2011,2
TACOS EL FILE,1723 S ASHLAND AVE ,02/04/2011,2
EL RANCHITO SAN MARCOS RESTAURANT,1723 S ASHLAND AVE ,10/18/2010,0
EL PICANTE MEXICAN GRILL & CAFE,1723 S ASHLAND AVE ,10/18/2010,0
NANCY'S TAMALES,1723 S ASHLAND AVE ,10/18/2010,0
LA CEBOLLITA TAQUERIA,1723 S ASHLAND AVE ,10/18/2010,0
EL RANCHITO SAN MARCOS RESTAURANT,1723 S ASHLAND AVE ,10/18/2010,0
EL MACHO TACOS,1723 S ASHLAND AVE ,02/18/2010,0
THE LITTLE FRANCIS MAXWELL STREET POLISH PORKCHOP 51ST ST,1724 W 51ST ST ,12/09/2013,0
BUTCH TOBACCO & SNACKS,1724 W 69TH ST ,12/09/2010,2
CHEAP CHARLIES,1724 W 69TH ST ,12/09/2010,0
CHEAP CHARLIES,1724 W 69TH ST ,12/09/2010,0
SANDWICH ON THE RUN INC,1724 W 69TH ST ,11/08/2010,0
WES'S CHICAGO STEAK OUT,1724 W 69TH ST ,11/08/2010,0
PRIMO CHUKI'S TAQUERIA & RESTAURANT,1724-1726 W LAWRENCE AVE ,09/25/2014,3
DUKE'S,1724-1726 W LAWRENCE AVE ,11/15/2012,2
NUEVO TACO LOCO INCORPORATED,1724-1726 W LAWRENCE AVE ,11/06/2012,0
HERBALCAL,1725 W 47TH ST ,08/22/2014,2
BLEND,1725 W DIVISION ST ,05/14/2012,0
Courtenay Spec. Ed,1726 W Berteau (4200N) ,02/17/2010,4
CLUB - 100,1728 W LAWRENCE AVE ,09/10/2014,1
SUBWAY,1730 W FULLERTON AVE ,06/02/2017,0
SCOOPS ICE CREAM,1730 W FULLERTON AVE ,05/19/2011,0
CLUB-100,1730 W LAWRENCE AVE ,09/21/2016,1
CAFE  CON  LECHE (CCLB),1732 N MILWAUKEE AVE ,09/17/2015,0
ROXIE'S ROADSIDE REFRESHER,1732 N MILWAUKEE AVE ,11/19/2010,5
"KRISTOFFER'S CAFE & BAKERY, INC.",1733 S HALSTED ST ,11/21/2013,1
CHELAJOES   ELAINE'S  HARDWARE CAFE,1733 S HALSTED ST ,11/21/2013,0
BIC'S HARDWARE CAFE,1733 S HALSTED ST ,05/12/2011,2
PALETERIA LINDO MICHOACAN,1733 W 47TH ST ,05/14/2012,1
QUIK-E-MART,1735 W 79TH ST ,05/16/2013,0
QUIK-E-MART,1735 W 79TH ST ,12/14/2010,3
KROLL'S SOUTH LOOP,1736 S MICHIGAN AVE ,02/18/2011,1
CAFE MESTIZO,1738 W 18TH ST ,02/28/2013,0
CAFE MESTIZO,1738 W 18TH ST ,03/29/2011,2
BIRRIERIA Y TAQUERIA ARANDAS,1738 W 47TH ST ,05/23/2011,2
CHURCH OF GOD COMM DAY CARE,1738 W MARQUETTE RD ,12/27/2016,1
PERRY'S DELI,174 N FRANKLIN ST ,07/18/2014,3
7-ELEVEN 33139,174 N MICHIGAN AVE ,11/04/2013,4
STICKY FINGERS GOURMET POPCORN,174 N MICHIGAN AVE ,04/18/2011,2
BANH MI,1740 W DIVISION ST ,05/07/2014,1
THE PURPLE COW,1740 W DIVISION ST ,05/06/2014,0
MANA FOOD BAR,1742 W DIVISION ST ,02/10/2015,0
MIKE'S NEIGHBORHOOD GROCERY,1744 W ESTES AVE ,05/11/2016,0
Mike's Neighborhood Grocery,1744 W ESTES AVE ,05/11/2016,0
Mike's Neighborhood Grocery,1744 W ESTES AVE ,01/14/2014,2
MIKE'S NEIGHBORHOOD GROCERIES,1744 W ESTES AVE ,01/15/2013,1
STOP-N- BUY INC,1744 W ESTES AVE ,01/15/2013,0
STOP N BUY,1744 W ESTES AVE ,01/15/2013,0
STOP N BUY,1744 W ESTES AVE ,06/07/2012,1
Domino's Pastries,1745 N HARLEM AVE ,02/24/2015,2
RAVENSWOOD GAS-CITGO,1745 W FOSTER AVE ,11/14/2014,0
"THE LEDGE BAR & GRILL, LLC",1745 W NORTH AVE ,10/18/2011,5
STICKY RICE CHIANG MAI,1746 N WESTERN AVE ,04/11/2013,3
PANTITLAN,1746 W 47TH ST ,04/17/2014,2
RED CORNER DELIGHT,1746 W ADDISON ST ,03/05/2013,0
DEMIR FAST FOOD,1746 W ADDISON ST ,03/05/2013,0
RED CORNER,1746 W ADDISON ST ,11/18/2010,3
MARIA'S SUPERMARKET,1748 W 21ST ST ,05/16/2011,3
THE BLUEBIRD BISTRO & WINEBAR,1749 N DAMEN AVE ,09/27/2013,1
POAG MAHONE'S,175 W JACKSON BLVD ,05/22/2017,1
JAFFA BAGEL,175 W JACKSON BLVD ,12/20/2017,0
GATEWAY NEWSTAND,175 W JACKSON BLVD ,05/16/2017,0
GATEWAY NEWSTANDS,175 W JACKSON BLVD ,05/04/2015,1
GATEWAY NEWSTAND,175 W JACKSON BLVD ,01/09/2014,1
JAFFA BAKERY,175 W JACKSON BLVD ,10/02/2013,0
WOLVERINE TRADING LP,175 W JACKSON BLVD ,09/12/2012,1
HERBAN GOURMET,1750 N CLARK ST ,02/28/2012,0
JUICE BOOST !,1750 N CLARK ST ,02/28/2012,0
"ALI'S GRILL,INC",1751 N SHEFFIELD AVE ,07/08/2014,0
SPICES OF INDIA INC.,1751 N SHEFFIELD AVE ,05/28/2013,1
WOK'S UP RESTAURANT,1751 N SHEFFIELD AVE ,03/08/2010,3
HEALTHY LIVING WELLNESS CENTER,1751 W 18TH ST ,01/08/2013,1
LA FAMA BAKERY,1751 W CHICAGO AVE ,04/08/2014,1
EL RINCON AZTECA,1752 W NORTH AVE ,06/10/2013,0
CREPE  CRAVE,1752 W NORTH AVE ,03/29/2012,1
UNCLE EDDIE'S FAMOUS GRILL,1753 E 95TH ST ,09/21/2012,4
D & G GAS & MINIMART,1754 N CENTRAL AVE ,11/14/2011,0
FRUITERIA EL SERRANITO,1755 W 38TH ST ,04/29/2010,6
KENYATTA'S KITCHEN,1755 W 79TH ST ,07/26/2011,2
OCHO RIOS JERK HUT,1755 W 79TH ST ,10/20/2011,0
EL MEZQUITE,1756 W 18TH ST ,12/31/2013,0
EL  MESQUITE,1756 W 18TH ST ,12/21/2011,2
WINDY CITY MINI MARKET,1756 W CHICAGO AVE ,12/09/2013,0
"SUPERMERCADO LOS HERMANOS RIOS, INC.",1757-1759 W 18TH ST ,04/15/2015,1
MEZTISOY FOOD MARKET,1757-1759 W 18TH ST ,03/14/2014,1
LAGOS FRUIT MARKET,1757-1759 W 18TH ST ,10/15/2012,1
CARNICERIA RANCHO ALEGRE,1757-1759 W 18TH ST ,04/16/2010,1
LAS ESPERANZAS,1758 W 47TH ST ,12/27/2013,3
COCODRILOS GRILL,1758 W GRAND AVE ,01/27/2011,0
GOOD HANDS DAY CARE INCORPORATED,1759 N HARLEM AVE ,11/17/2011,0
SPEEDY'S RESTAURANT,1759 W 19TH ST ,01/24/2011,3
VILLAGE FOOD MARKET INC.,1759 W 79TH ST ,02/17/2017,0
PIGGYBACK BBQ,176 N WELLS ST ,06/04/2015,2
LEMON TREE EXPRESS,176 N WELLS ST ,02/14/2014,1
DOMINICK'S #160/1698,1763 W HOWARD ST ,06/10/2014,0
IONA'S BEVERLY HILLS CAFE,1767 W 95TH ST ,09/30/2014,1
Dunkin Donuts,1768 W ARMITAGE AVE ,12/08/2017,0
TRIPLE I RESTAURANT,177 N STATE ST ,06/03/2011,2
CHICK-FIL-A STATE & LAKE,177 N State ST ,08/21/2013,3
JOHNNY ROCKETS,177 N State ST ,08/21/2013,0
Halsted Street Deli,177 N State ST ,05/14/2013,0
7-ELEVEN,177 N WELLS ST ,07/20/2012,1
MAC KELLY'S GREEN & THINGS INC,177 N WELLS ST ,08/23/2010,2
"LA COCINA MEXICAN GRILL, LLC",178 N FRANKLIN ST ,04/28/2014,3
BABA'S,18 S PULASKI RD ,01/12/2012,0
ASIAN CHAO & VILLA ITALIAN,18 W JACKSON BLVD ,11/08/2010,2
III FORKS #425,180 N FIELD BLVD ,02/06/2013,4
JENNY CRAIG WEIGHT LOSS CENTER,180 N LA SALLE ST ,10/13/2016,1
JIMMY JOHN'S - LASALLE,180 N LA SALLE ST ,07/30/2015,1
JIMMY JOHN'S - LASALLE,180 N LA SALLE ST ,12/08/2015,0
GATEWAY NEWS STANDS,180 N LA SALLE ST ,10/09/2014,1
GATEWAY NEWSTAND,180 N LA SALLE ST ,10/14/2010,1
CAFFE ROM,180 N STETSON AVE ,11/30/2012,3
ILLINOIS INSTITUTE OF ART INC,180 N WABASH AVE ,12/27/2010,5
COOGAN'S RIVERSIDE SALOON,180 N WACKER DR ,09/22/2010,2
TACO FRESCO,180 N WELLS ST ,06/20/2014,0
GOOSE ISLAND BEER CO,1800 N CLYBOURN AVE ,03/31/2016,1
GOOSE ISLAND BREWING CO,1800 N CLYBOURN AVE ,02/04/2010,6
THE BLACK DUCK,1800 N HALSTED ST ,06/19/2013,1
TANOOR KABOB INC.,1800 S JEFFERSON ST ,10/10/2012,2
FAT ALBERT'S,1800 S PULASKI RD ,08/27/2015,0
18TH STREET FOOD MART,1800 S PULASKI RD ,08/27/2015,0
NATIONAL FOOD MART,1800 S PULASKI RD ,08/27/2015,0
FAT ALBERT,1800 S PULASKI RD ,04/16/2015,0
MUNCH,1800 W GRAND AVE ,12/11/2012,0
ELTI'S CAFE,1800 W GRAND AVE ,12/11/2012,0
TULUM GRILL,1800 W GRAND AVE ,12/11/2012,0
NAY'B GRILL,1800 W GRAND AVE ,12/06/2012,0
CAFE 28,1800-1806 W IRVING PARK RD ,09/25/2013,0
CAFE 28,1800-1806 W IRVING PARK RD ,10/22/2012,1
CAFE SOCIETY INC,1801 S INDIANA AVE ,08/01/2012,2
THE LUTHERAN DAY NURSERY,1802 N FAIRFIELD AVE ,03/23/2017,0
SMOKE DADDY,1804 W DIVISION ST ,04/22/2010,3
ANNA'S ASIAN GRILL & SUSHI BAR,1804-1806 W IRVING PARK RD ,12/01/2017,0
RUYI SUSHI,1804-1806 W IRVING PARK RD ,11/04/2016,1
BOB SAN SUSHI BAR,1805  -01807 W DIVISION ST ,07/12/2010,3
BOB SAN SUSHI BAR,1805-1809 W DIVISION ST ,09/07/2016,1
CHELAS PRODUCE,1806 S RACINE AVE ,10/07/2010,0
PALETERIA LAS TARASCAS INC.,1806 W 18TH ST ,05/31/2016,1
QUICK SHOP FOOD MART,1806-1808 E 79TH ST ,10/10/2014,0
LACEBOLLITA GRILL,1807 S ASHLAND AVE ,09/28/2012,0
MARKLAND HUBBARD GOURMET,1807 W 95TH ST ,11/02/2011,2
LA FIESTA SNACK FOOD PRODUCT I,1808 W CERMAK RD ,12/22/2011,1
ROBERT T WALKER LEADERSHIP INSTITUTE,1808-1810 W 99TH ST ,02/14/2012,1
"Ram's Gyros, Hot Dogs, Hamburg",1809 N HARLEM AVE ,11/30/2012,2
LEGEE RICE AND NOODLES,1810 W MONTROSE AVE ,03/05/2013,2
WING LEE CHINESE CUISINE AND CAFE CORPORATION,1810 W MONTROSE AVE ,02/08/2011,2
BIRRIERIA Y TAQUERIA ARANDAS,1812 W 47TH ST ,01/23/2015,1
CHGO PIZZA & PUMPING STATION,1812 W 47TH ST ,09/27/2012,0
CHICAGO PIZZA & PUMPING STATION CO.,1812 W 47TH ST ,07/09/2010,2
BEANS & BAGELS,1812 W MONTROSE AVE ,07/18/2016,0
CARNITAS  TZARARACUA,1813 S ASHLAND AVE ,05/22/2015,1
TOWN FOOD & LIQUOR,1813 W 63RD ST ,12/13/2016,0
HEAVEN DELI & GROCERY,1813 W 63RD ST ,12/13/2016,0
HEAVEN DELI & GROCERY,1813 W 63RD ST ,03/05/2010,6
I-CAFE,1814 W IRVING PARK RD ,10/29/2012,4
INTERNET CAFE,1814 W IRVING PARK RD ,10/29/2012,0
INTERNET CAFE,1814 W IRVING PARK RD ,04/16/2010,2
REEME'S FOOD MART,1815 W 87TH ST ,07/28/2011,4
HOTEL LINCOLN,1816 N CLARK ST ,04/12/2016,0
HOTEL LINCOLN,1816 N CLARK ST ,04/12/2016,0
ELAINE'S COFFEE CALL,1816 N CLARK ST ,08/20/2013,1
KING CRAB TAVERN/SEAFOOD GRILL,1816 N HALSTED ST ,03/02/2011,4
CITY PROVISIONS CATERING AND E,1816-1820 W WILSON AVE ,05/12/2011,2
GREEN TOMATO DELI,1820 W 18TH ST ,12/15/2011,3
DULCERIA REPOSITRERIA DON PANCH,1820 W 18TH ST ,05/25/2010,1
CITY PROVISIONS CATERING AND EVENTS,1820 W WILSON AVE ,05/04/2012,0
TERESA'S COCINA,1820 W WILSON AVE ,05/04/2012,0
123 FOOD,1822 W 63RD ST ,09/10/2014,2
SAM'S FOOD,1822 W 63RD ST ,03/07/2014,0
123 FOOD,1822 W 63RD ST ,10/30/2012,2
CERMAK LIVE POULTRY,1823 W CERMAK RD ,11/04/2015,0
FERMIN'S POULTRY,1823 W CERMAK RD ,10/11/2013,2
"CERMAK LIVE POULTRY,INC.",1823 W CERMAK RD ,04/16/2012,1
"CERMAK LIVE POULTRY, INC.",1823 W CERMAK RD ,04/20/2011,1
HARRISON PARK-GOLDEN DINER,1824 S WOOD ST ,07/09/2015,1
MOONSHINE,1824 W DIVISION ST ,03/28/2012,3
CEDAR FOOD,1825 W 59TH ST ,08/28/2014,0
"DOUBLE Z FOOD & DELI, INC.",1825 W 59TH ST ,01/28/2011,1
S.B.M. FOODS,1825 W 59TH ST ,10/21/2010,0
ALWAYS THAI,1825 W IRVING PARK RD ,10/22/2012,0
ALWAYS THAI RESTAURANT,1825 W IRVING PARK RD ,02/23/2010,2
CARO MIO ITALIAN RISTORANTE,1825-1829 W WILSON AVE ,08/13/2014,1
CAFE A' RIANA,1826 W WILSON AVE ,10/23/2013,0
"1826 CAFE, INC.",1826 W WILSON AVE ,10/23/2013,0
HARASH,1826 W WILSON AVE ,10/23/2013,0
DAILY BAGEL SHOP,1827 W CERMAK RD ,01/10/2011,2
WHALE FISH & CHICKEN,1828 W 79TH ST ,01/15/2013,3
ROONG PETCH THAI RESTAURANT,1828 W MONTROSE AVE ,02/14/2013,2
GUESS HOOKAH,1829 W CHICAGO AVE ,09/14/2010,3
GUESS HOOKAH,1829 W CHICAGO AVE ,07/02/2010,0
HOUSTON'S LIQUOR & FOODS,1829 W IRVING PARK RD ,12/02/2014,2
MANGAL,1834 W MONTROSE AVE ,04/01/2016,1
BAR RISTA CAFE,1834 W MONTROSE AVE ,07/28/2015,1
TROQUET,1834 W MONTROSE AVE ,02/27/2014,1
WOLCOTT'S,1834 W MONTROSE AVE ,07/02/2013,0
LAS PALMAS RESTAURANT,1835 W NORTH AVE ,02/07/2017,0
AZTECA TACOS,1836 S BLUE ISLAND AVE ,01/14/2013,1
TAUS AUTHENTIC,1836-1846 W DIVISION ST ,10/04/2016,1
PRASINO,1836-1846 W DIVISION ST ,01/13/2015,0
J. ALEXANDER'S,1840 N CLYBOURN AVE ,12/26/2012,1
ALDI CLYBOURN,1840 N CLYBOURN AVE ,11/03/2011,0
EN HAKKORE INC.,1840 N DAMEN AVE ,06/30/2016,1
MELT,1840 N DAMEN AVE ,12/28/2012,0
NALYAH'S  CAFE,1840 N DAMEN AVE ,10/05/2011,1
THE SOUTHERN,1840-1842 W NORTH AVE ,12/07/2016,1
THE SOUTHERN,1840-1842 W NORTH AVE ,11/20/2012,4
DEVON & RIDGE AMOCO,1841 W DEVON AVE ,08/30/2012,0
BEE AND TEA,1843 W NORTH AVE ,06/03/2014,2
HOOSIER MAMA DOLLOP,1844 S BLUE ISLAND AVE ,04/18/2016,1
Larrabee Apartments,1845 N LARRABEE ST ,03/30/2010,4
CAFE MATOU,1846-1848 N MILWAUKEE AVE ,12/20/2011,2
ENGLEWOOD GROCERY,1848 W 59TH ST ,08/01/2012,0
ELEPHANT & CASTLE,185 N WABASH AVE ,09/27/2012,1
ENDGRAIN,1851 W ADDISON ST ,05/02/2013,3
TERRAGUSTO,1851 W ADDISON ST ,05/02/2013,0
LABODEGA CHICAGO,1851 W ADDISON ST ,05/02/2013,0
NATHANIEL POPE ELEMENTARY,1852 S Albany (3100W) ,05/11/2011,3
Maneethai 3,1852 W NORTH AVE ,10/23/2014,1
"Zen rice and noodle,inc.",1852 W NORTH AVE ,11/21/2012,1
ZEN NOODLES,1852 W NORTH AVE ,11/14/2012,0
LUCKY FOOD,1854 N PULASKI RD ,04/02/2013,0
THE JAM HOUSE,1854 W 18TH ST ,10/27/2014,0
HERBAL LIFE,1854 W 18TH ST ,06/28/2012,2
LA MICHOACANA DEL PANDA,1855 S BLUE ISLAND AVE ,10/24/2014,3
SWEET BEAN & MORE,1855 W DIVERSEY PKWY ,04/28/2011,2
SWEET BEAN AND MORE,1855 W DIVERSEY PKWY ,04/18/2011,0
ROYAL FOOD BASKET INC.,1856 E 79TH ST ,03/04/2010,5
CARNICERIA Y TAQUERIA GUERRERO,1856 N RICHMOND ST ,08/22/2012,1
CARNICERIA Y TAQUERIA GUERRERO,1856 N RICHMOND ST ,08/22/2012,0
CARNICERIA Y TAQUERIA GUERRERO,1856 N RICHMOND ST ,09/15/2011,1
INO'S TACOS,1856 W 35TH ST ,11/19/2010,6
ABERDEEN,1856 W NORTH AVE ,09/07/2011,0
EDDIE'S FOOD MART,1858 W 63RD ST ,09/17/2012,3
LULA' S GRILL & PIZZA INC,1858 W PERSHING RD ,12/31/2013,1
AMIGO FOOD MART,1859 N KIMBALL AVE ,03/28/2017,0
McDONALD'S STORE #4061,186 W ADAMS ST ,10/23/2017,0
FRANKS 'N' DAWGS,1863 N CLYBOURN AVE ,05/18/2011,5
WHAT'S THE BEEF,1863 N CLYBOURN AVE ,05/18/2011,0
"WHAT'S THE BEEF, INC",1863 N CLYBOURN AVE ,05/18/2011,0
"WHAT'S THE BEEF, INC",1863 N CLYBOURN AVE ,05/16/2011,0
LA ESPERANZA RESTAURANT,1864 S BLUE ISLAND AVE ,12/23/2016,1
RESTAURANT LA ESPERANZA,1864 S BLUE ISLAND AVE ,12/23/2016,0
JOE'S EAT T GO,1864 S BLUE ISLAND AVE ,07/26/2010,6
LA ESPERANZA RESTAURANT,1864 S BLUE ISLAND AVE ,09/17/2010,0
LA ESPERANZA RESTUARANT,1864 S BLUE ISLAND AVE ,09/17/2010,0
CLUB HOLIDAY,1864 S BLUE ISLAND AVE ,09/17/2010,0
LA ESPERANZA RESTAURANT III INC.,1864 S BLUE ISLAND AVE ,03/11/2010,0
BUY & FLY STORE,1874 S KEDZIE AVE ,11/29/2011,1
GULF OF ADEN FOOD MART,1877 E 71ST ST ,08/16/2012,4
DRAGON WOK CORPORATION,1877 S KEDZIE AVE ,12/16/2013,0
JB FISH & CHICKEN,1877 S KEDZIE AVE ,12/16/2013,0
TASTY STEAK & LEMONADE,1877 S KEDZIE AVE ,02/24/2011,2
GREEN CORNER JUICE BAR/COFFEE,1880 N DAMEN AVE ,03/22/2010,6
"CHICAGO WHIRLY, INC.",1880 W FULLERTON AVE ,10/01/2012,2
"PLAZZIO'S PIZZA RESTAURANT, INC.",1889-1891 N WINNEBAGO AVE ,05/23/2016,1
"PLAZZIO'S PIZZA RESTAURANT, INC.",1889-1891 N WINNEBAGO AVE ,05/26/2015,1
PLAZZIO RESTUARANT,1889-1891 N WINNEBAGO AVE ,03/19/2015,0
HAIFA CAFE,19 N WELLS ST ,10/26/2015,2
HAIFA CAFE,19 N WELLS ST ,04/17/2012,0
LASALLE MART INC.,19 S LA SALLE ST ,09/23/2011,3
JACK'S CONVENIENCE,19 S LA SALLE ST ,09/03/2010,0
STAR CANDY STORE,190 S LA SALLE ST ,05/13/2014,0
MID CITY CARDS AND GIFTS,190 S LA SALLE ST ,12/09/2010,2
RED ROBIN BURGER WORKS,190 W MADISON ST ,06/02/2016,1
JAMBA JUICE,190 W MADISON ST ,02/25/2013,1
JAMBA JUICE #628,190 W MADISON ST ,05/03/2011,0
SUPREME CATERING,1900 MAYWOOD DR ,04/06/2011,0
SUPREME CATERING,1900 MAYWOOD DR ,09/28/2010,1
BOHEMIA TRADING CORPORATION,1900 N AUSTIN AVE ,10/01/2013,0
DENCE FAST FOOD,1900 N AUSTIN AVE ,10/01/2013,0
JOE AND DOUGH INC.,1900 N AUSTIN AVE ,06/29/2012,1
VIJAYA FOODS INC,1900 N AUSTIN AVE ,06/24/2010,1
Big Bite Catering,1900 N AUSTIN AVE ,12/14/2010,0
PRAIRIE AVENUE GALLERY,1900 S PRAIRIE AVE ,12/08/2011,2
THE BURGER POINT,1900 S STATE ST ,10/03/2011,5
MALCOLM X COLLEGE,1900 W VAN BUREN ST ,08/21/2015,1
OUTTAKES,1900 W VAN BUREN ST ,06/21/2010,5
NELLY'S FOOD MART CORP.,1901 N KARLOV AVE ,10/03/2013,2
M & M & M FOODS,1901 N KARLOV AVE ,12/06/2012,0
ROSAS GROCERIES,1901 N KARLOV AVE ,12/06/2012,0
LAS AMIGAS,1901 N KARLOV AVE ,12/06/2012,0
PULASKI FOOD MART,1901 S PULASKI RD ,02/03/2015,0
19 PULASKI,1901 S PULASKI RD ,04/05/2013,1
JACKS FAMOUS WINGS AND SANDWICHES,1901 S PULASKI RD ,10/03/2013,0
19TH ST FOOD MART,1901 S PULASKI RD ,10/03/2013,0
MAMA'S,1901 S PULASKI RD ,10/03/2013,0
PULASKI CHICAGO FOOD COURT,1901 S PULASKI RD ,09/17/2010,3
Pepe's Mexican Restaurant,1901 W 79TH ST ,04/27/2015,2
FRONT YARD JERK GRILLE,1901 W 87TH ST ,12/05/2013,4
GYROS HOUSE STEAK & LEMONADE,1901 W 87TH ST ,11/30/2012,1
LEVY RESTAURANTS AT UNITED CENTER,1901 W MADISON ST ,11/07/2017,0
LEVY RESTAURANTS AT UNITED CENTER,1901 W MADISON ST ,12/07/2015,2
BISMARCK ENTERPRISES/UNITED,1901 W MADISON ST ,10/06/2014,1
