,business_name,address,inspection_date,years_alive
2519,CHESTNUT STREET CAFE,200 E CHESTNUT ST ,02/23/2010,2
2520,Cafe 200 @ Aon Center Chicago,200 E RANDOLPH ST ,06/10/2011,1
2521,TRAVEL TRADERS  #3059,200 N COLUMBUS DR ,12/08/2014,0
2522,FRIENDSHIP ON THE LAKE,200 N LAKEFRONT DR ,10/24/2013,2
2523,STARBUCKS COFFEE #16309,200 S MICHIGAN AVE FL ,05/03/2012,1
2524,7-ELEVEN,200 S RACINE AVE ,02/18/2010,2
2525,CURRENTS ON THE RIVER,200 S WACKER DR ,08/26/2010,3
2526,PAZZO'S CUCINA ITALIANA,200 S WACKER DR ,12/02/2010,0
2527,THE HUT FISH AND CHICKEN,200 W 103RD ST ,02/01/2013,0
2528,AU BON PAIN,200 W ADAMS ST ,04/04/2011,1
2529,GRAND FOOD & LIQUOR MART,200 W GRAND AVE ,09/23/2011,2
2530,SUNDRY SHOP,200 W JACKSON BLVD ,11/08/2013,2
2531,SUNDRY SHOP,200 W JACKSON BLVD ,09/19/2012,1
2532,RUPAK CORPORATION,200 W JACKSON BLVD ,07/07/2010,2
2533,JERSEY MIKE'S,200 W MONROE ST ,12/30/2010,5
2534,FRESHII,200 W RANDOLPH ST BLDG ,11/25/2013,2
2535,DIEZ Y 8,2000 W 18TH ST ,11/13/2017,0
2536,DIEZ Y OCHO,2000 W 18TH ST ,01/07/2016,1
2537,VIO CAFE & GRILL,2000 W 18TH ST ,09/15/2011,3
2538,P0NY EXPRESS RESTAURANT,2000 W 21ST ST ,01/28/2011,2
2539,A JAYS,2000 W 34TH ST ,09/15/2010,0
2540,BURGER KING #7674,2000 W 47TH ST ,12/17/2014,1
2541,PETE'S MEAT & GROCERY#2,2001 W 71ST ST ,05/24/2013,1
2542,FRIENDLY FOODS,2001 W 71ST ST ,09/16/2010,0
2543,BETTER GOURMET RESTAURANT,2002 S WENTWORTH AVE ,11/22/2017,0
2544,IKE BUKURO SUSHI HOUSE,2002 S WENTWORTH AVE ,11/16/2017,0
2545,GRILL-N-CHILL CAFE,2002 S WENTWORTH AVE ,11/03/2016,0
2546,YUMMY YUMMY NOODLES,2002 S WENTWORTH AVE ,11/03/2016,0
2547,TONG'S RESTAURANT INC,2002 S WENTWORTH AVE ,09/29/2015,1
2548,LAO YOU JU CHINESE BAR AND RESTAURANT,2002 S WENTWORTH AVE ,08/24/2015,0
2549,BRACH #2,2002 S WENTWORTH AVE ,09/22/2015,0
2550,NORTHERN BBQ,2002 S WENTWORTH AVE ,01/20/2015,0
2551,BAHAY KUBO,2002 S WENTWORTH AVE ,12/01/2015,0
2552,QUIN XIANG YUAN,2002 S WENTWORTH AVE ,09/26/2014,1
2553,CHUANCHUANXIANG RESTAURANT,2002 S WENTWORTH AVE ,11/25/2014,0
2554,IKEBUKURO,2002 S WENTWORTH AVE ,05/22/2014,0
2555,IBAO EXPRESS FOOD INC.,2002 S WENTWORTH AVE ,06/12/2014,0
2556,LAO YOU JU CHINESE BAR AND RESTAURANT,2002 S WENTWORTH AVE ,08/14/2013,0
2557,CRAZY POT,2002 S WENTWORTH AVE ,06/28/2012,1
2558,T TASTY HOUSE,2002 S WENTWORTH AVE ,09/19/2012,0
2559,XIAO MEI,2002 S WENTWORTH AVE ,12/14/2012,0
2560,BANHMI EXPRESS SANDWICH,2002 S WENTWORTH AVE ,04/29/2011,1
2561,DOLLAR ZONE,2002-2010 W 51ST ST ,10/28/2015,1
2562,A & N FOOD & DOLLAR,2002-2010 W 51ST ST ,11/26/2014,1
2563,MARATHON,2003 N PULASKI RD ,12/20/2010,6
2564,"GLOBAL MARATHON, INC",2003 N PULASKI RD ,12/15/2010,0
2565,LOUISIANA FRIED CHICKEN,2003 S WESTERN AVE ,08/14/2012,0
2566,LOUISIANA FRIED CHICKEN,2003 S WESTERN AVE ,08/03/2012,0
2567,"LAZO'S TACOS, INC",2003-2009 N WESTERN AVE ,11/19/2015,1
2568,7-ELEVEN #33856 B,2004 N HALSTED ST ,09/24/2015,0
2569,7 ELEVEN,2004 N HALSTED ST ,10/07/2014,1
2570,WHITE HEN PANTRY #0-0-8505-1,2004 N HALSTED ST ,09/19/2013,0
2571,7-ELEVEN,2004 N HALSTED ST ,09/19/2013,0
2572,7-ELEVEN,2004 N HALSTED ST ,09/19/2013,0
2573,CAFE CIAT,2004 W ROSCOE ST ,12/09/2015,2
2574,FatPour,2005-2007 W DIVISION ST ,06/05/2015,1
2575,ADOBO GRILL,2005-2007 W DIVISION ST ,03/31/2010,2
2576,JANSON DRIVE- IN,2006 W 63RD ST ,05/08/2014,1
2577,EL POLLO REGIO,2007-2009 S DAMEN AVE ,06/10/2016,0
2578,TA CAMARON MEXICAN GRILL INC.,2007-2009 S DAMEN AVE ,06/21/2013,2
2579,POLLO CHARRO CORPORATION,2007-2009 S DAMEN AVE ,06/21/2013,0
2580,POLLO CHARRO,2007-2009 S DAMEN AVE ,06/28/2012,1
2581,SUBWAY,2008 N HALSTED ,07/27/2011,2
2582,SUBWAY,2008 N HALSTED ST ,09/14/2012,0
2583,"SARAH'S PASTRIES & CANDIES, INC.",2008 N HALSTED ST ,07/28/2011,1
2584,SUBWAY,2008 N HALSTED ST ,07/11/2011,0
2585,INTERURBAN CAFE & PASTRY SHOP,2008 N HALSTED ST REAR ,10/14/2016,1
2586,ROTISSERIE ENT & ANNET'S,2009 N BISSELL ST ,03/28/2011,0
2587,VERONA PIZZERIA & SANDWICHES,2009 N DAMEN AVE ,04/18/2011,1
2588,SALLY FOOD MART,201 E 61ST ST ,01/10/2014,1
2589,ETERNITY JUICE BAR & DELI,201 E 75TH ST ,06/14/2013,2
2590,ETERNITY JUICE BAR & DELI,201 E 75TH ST ,03/29/2012,1
2591,SOPRAFFINA/CICCHETTI,201 E HURON ST ,05/08/2015,0
2592,Au Bon Pain,201 E HURON ST ,11/10/2014,1
2593,312 BEER GARDEN,201 E RANDOLPH ST ,08/18/2011,1
2594,EAST SIDE TAVERNA & PIZZARIA,201 E WALTON ST ,02/16/2017,0
2595,RESIDENCE INN BY MARRIOTT,201 E WALTON ST ,10/28/2015,2
2596,K-KITCHEN,201 N CLARK ST ,10/27/2015,1
2597,DUNKIN DONUTS,201 N CLARK ST ,10/27/2015,0
2598,MEDITERANEAN GRILL,201 N CLARK ST ,10/27/2015,0
2599,SUBWAY,201 N CLARK ST ,10/27/2015,0
2600,THE WORKS NORTH LOOP INC,201 N CLARK ST ,10/27/2015,0
2601,HAROLD'S CHICKEN SHACK #84,201 N CLARK ST ,09/24/2015,0
2602,THE HONEY TREE OF WABASH AVE,201 N CLARK ST ,11/23/2015,0
2603,WING KINGZ,201 N CLARK ST ,10/15/2015,0
2604,GREEN APPLE YOUGURT & MORE,201 N CLARK ST ,10/15/2015,0
2605,SEEDWAYS,201 N CLARK ST ,06/12/2015,0
2606,JIMMIE'S POPPING POPCORN INC.,201 N CLARK ST ,06/12/2015,0
2607,BODEGA TO GO,201 N CLARK ST ,06/12/2015,0
2608,CALIENTE,201 N CLARK ST ,06/12/2015,0
2609,ROBINSON'S N0 1 RIBS,201 N CLARK ST ,12/08/2015,0
2610,MEDITERANEAN GRILL,201 N CLARK ST ,12/08/2015,0
2611,GREEN APPLE YOUGURT & MORE,201 N CLARK ST ,09/04/2015,0
2612,TOAST IT,201 N CLARK ST ,06/28/2013,1
2613,POPEYE'S CHICKEN AND BISCUITS AND STEAK EXPRESS,201 N CLARK ST ,10/08/2013,0
2614,CHEN'S CHINESE EXPRESS,201 N CLARK ST ,09/12/2012,0
2615,JAFFA BAKERY,201 N CLARK ST ,09/12/2012,0
2616,"TORO SUSHI EXPRESS, INC.",201 N CLARK ST ,01/20/2011,1
2617,GREEN APPLE YOUGURT,201 N CLARK ST ,01/05/2011,0
2618,GREEN APPLE INC,201 N CLARK ST ,12/15/2010,0
2619,McDonald's,201 N Clark ST BLDG ,08/19/2010,4
2620,DUNKIN DONUTS,201 W MADISON ST ,01/29/2016,1
2621,DUNKIN DONUTS,201 W MADISON ST ,01/29/2016,0
2622,SIXTY FIVE CHINESE RESTAURANT,201 W MADISON ST ,01/21/2016,0
2623,DUNKIN DONUTS & TOGO'S,201 W MADISON ST ,08/11/2011,1
2624,7- ELEVEN,2010 N DAMEN AVE ,12/06/2013,3
2625,CHICAGO COMMERCIAL & CONSUMER BRANDS,2010 W FULTON ST ,10/10/2013,0
2626,LA PROVENCE,2010 W FULTON ST ,05/23/2011,2
2627,NICK'S PIT STOP,2011 N DAMEN AVE ,08/04/2010,4
2628,NICK'S GYROS,2011 W 63RD ST ,05/11/2012,1
2629,DANIELLA'S TAMALES,2011 W 63RD ST ,05/10/2010,2
2630,EGGHEAD DINER,2012-2014 W IRVING PARK RD ,12/04/2012,2
2631,Sabor Saveur,2013 W DIVISION ST ,09/06/2012,1
2632,Sabor Saveur,2013 W DIVISION ST ,11/30/2011,1
2633,BOUTIQUE BITS. LLC,2013-2015 N WESTERN AVE ,10/03/2013,0
2634,ROSA DE LIMA,2013-2015 N WESTERN AVE ,09/21/2010,3
2635,FAME,2015 W DIVISION AVE ,07/20/2016,1
2636,PARADISE CANTINA,2015 W DIVISION AVE ,03/26/2012,2
2637,71ST DISCOUNT STORE,2016 E 71ST ST ,04/27/2010,5
2638,LAO MA LA CHINESE RESTAURANT,2017 S WELLS ST ,09/14/2015,0
2639,TOP CHOICE BBQ RESTAURANT,2017 S WELLS ST ,02/03/2015,0
2640,LURE,2017 S WELLS ST ,08/07/2014,0
2641,MULAN RESTAURANT,2017 S WELLS ST ,02/08/2011,2
2642,C.R.PHILLIPS CHILD.DEV.CENTR,2018 E 83RD ST ,05/23/2012,4
2643,CHICKPEA,2018 W CHICAGO AVE ,06/05/2014,0
2644,CHINA FAST WOK INC,2020 N CALIFORNIA AVE ,03/17/2016,0
2645,FAST WOK,2020 N CALIFORNIA AVE ,08/19/2014,2
2646,7-Eleven,2020 N CALIFORNIA AVE ,06/06/2012,1
2647,FAST WOK,2020 N CALIFORNIA AVE ,02/22/2010,2
2648,PAPA  JOHN'S,2020 N California ,03/20/2013,1
2649,CURIOUS,2020 W CHICAGO ,06/20/2017,0
2650,Gari Sushi & Asian Bistro,2020 W CHICAGO ,06/17/2016,1
2651,BAR BARI,2020 W CHICAGO ,08/15/2011,2
2652,MID-TOWN TENNIS CLUB,2020 W FULLERTON AVE ,11/09/2012,5
2653,MID-TOWN TENNIS CLUB,2020 W FULLERTON AVE ,11/08/2011,1
2654,BURGER TOWN,2020 W MONTROSE AVE ,06/14/2010,5
2655,CAROLE ROBERTSON CENTER FOR LEARNING,2020 W ROOSEVELT RD ,10/20/2011,2
2656,DOMINICK'S FINER FOODS - STORE # 2775,2021 W CHICAGO AVE ,03/14/2014,0
2657,AFC  SUSHI @DOMINICKS#2775,2021 W CHICAGO AVE ,03/13/2014,0
2658,TASTY CITY,2022 S WENTWORTH AVE ,09/26/2014,0
2659,TASTY CITY,2022 S WENTWORTH AVE FL ,05/18/2010,2
2660,JAZZY BEAN CAFE,2022 W 35TH ST ,06/14/2012,3
2661,LA COCINA DE MAMA NENAS INC,2022 W 35TH ST ,10/05/2010,2
2662,THAI,2022 W ROSCOE ST ,03/19/2015,2
2663,BABYLON,2023 N DAMEN AVE ,04/02/2012,2
2664,BABYLON EATERY,2023 N DAMEN AVE ,05/10/2011,1
2665,BIRRIERIA Y TAQUERIA EL CHIVO FELIZ INC.,2023 S WESTERN AVE ,06/20/2014,1
2666,LITTLE CAESAR ENTERPRISES,2024 E 95TH ST ,05/10/2016,0
2667,LITTLE CAESARS,2024 E 95TH ST ,08/17/2015,1
2668,A P DELI,2025 E 75TH ST ,04/28/2017,1
2669,"GRANDPA'S DELIGHT, INC",2025 W 35TH ST ,06/08/2015,2
2670,MARI'S GROCERY INC.,2027 S CALIFORNIA AVE ,12/11/2013,0
2671,M G GROCERY CO,2027 S CALIFORNIA AVE ,12/11/2013,0
2672,MARI'S GROCERY,2027 S CALIFORNIA AVE ,04/08/2011,2
2673,MEXICALI'S GROCERY,2027 S CALIFORNIA AVE ,04/05/2011,0
2674,INDIANA'S SNACK SHOP,203 E 71ST ST ,02/09/2011,1
2675,WAFFLES CAFE/ON THE BUN,203 E OHIO ST ,05/27/2016,1
2676,JERSEY MIKE'S,203 E OHIO ST ,03/13/2015,0
2677,CONVENIENT FOOD MART,203 E OHIO ST ,09/17/2014,0
2678,JERSEY MIKE'S,203 E OHIO ST ,04/08/2014,0
2679,JALARAM NEWSSTAND INC.,203 N LA SALLE ST ,01/26/2017,0
2680,XANDO COFFEE & BAR / COSI SANDWICH BAR,203 N LA SALLE ST ,10/10/2017,0
2681,DUNKIN DONUTS,203 N LA SALLE ST ,10/30/2015,1
2682,DM NEWS STAND,203 N LA SALLE ST ,09/08/2014,1
2683,MIDTOWN KITCHEN,203 N LA SALLE ST ,02/17/2012,1
2684,SMASHBURGER,2031 N CLYBOURN AVE ,07/22/2016,1
2685,KHAWAJA GHAREEB NAWAZ,2032 W DEVON AVE ,05/03/2011,0
2686,GHAREEB NAWAZ RESTAURANT,2032 W DEVON AVE ,05/03/2011,0
2687,KHAWAJA GHAREEB NAWAZ,2032 W DEVON AVE ,02/19/2010,1
2688,ALL-NATURAL CHICAGO LTD.,2032 W FULTON ST ,03/09/2016,1
2689,GHAREEB NAWAZ RESTAURANT,2032-2034 W DEVON AVE ,01/15/2013,2
2690,Congress Pizza,2033 N Milwaukee AVE ,10/21/2015,1
2691,DINO & NICK,2035 N PULASKI RD ,01/24/2011,2
2692,GRACE MARKET,2035 W HOWARD ST ,04/13/2010,2
2693,SPRING,2039 W NORTH AVE ,08/10/2010,2
2694,RED ROBIN'S BURGER WORKS,204 N WELLS ST ,01/13/2015,2
2695,CANTONESIA RESTAURANT,204 W CERMAK RD ,12/26/2012,2
2696,CANTONESIA INC,204 W CERMAK RD ,09/27/2010,2
2697,CHICAGO BULLS COLLEGE PREP,2040 W Adams St  (200S) ,12/14/2012,1
2698,Sodexo,2040 W Adams St  (200S) ,03/08/2010,2
2699,PIZZA HUT 317247,2042 W 47TH ST ,04/28/2015,1
2700,PIZZA HUT,2042 W 47TH ST ,04/21/2015,0
2701,AZUL,2043 W Howard ST ,12/01/2016,0
2702,LAS ISLAS MARIAS,2043-2051 N MILWAUKEE AVE ,01/21/2010,4
2703,TWINKLING STARS DAYCARE,2044 W BELMONT AVE ,03/09/2010,4
2704,BABA CASH & CARRY,2044 W DEVON AVE ,07/06/2012,0
2705,BABA BROS. CASH & CARRY,2044 W DEVON AVE ,10/03/2011,1
2706,BIRRIERIA ESTILO JALISCO,2045 N WESTERN AVE ,01/31/2012,0
2707,LAS ASADAS,2045 N WESTERN AVE ,02/22/2011,1
2708,LAS ASADAS,2045 N WESTERN AVE ,02/22/2011,0
2709,BIRRIERIA ESTILO JALISCO,2045 N WESTERN AVE ,12/14/2010,1
2710,TASTE OF TRINIDAD,2045 W HOWARD ST ,10/10/2014,3
2711,CLEOS,2048 W ARMITAGE AVE ,08/12/2011,2
2712,GYOOD!,2048 W BELMONT AVE ,11/12/2013,0
2713,GYOOD,2048 W BELMONT AVE ,02/16/2010,3
2714,LA  MICHOACANA,2049 W CERMAK RD ,09/26/2016,1
2715,SMALLBAR DIVISION,2049 W DIVISION ST ,07/11/2014,1
2716,"FATO  FAST FOOD,INC",2049 W HOWARD ST ,09/12/2011,2
2717,FRENCH AFRICAN RESTAURANT LE CONAKRY INC.,2049 W HOWARD ST ,09/12/2011,0
2718,NOTRE DAME AMONG US,2049 W HOWARD ST ,09/08/2011,0
2719,SOUL VEGETERIAN EAST INCORPORATED,205 E 75TH ST ,07/18/2011,1
2720,JIMMY JOHN'S OHIO,205 E OHIO ST ,05/08/2015,0
2721,POCKETS,205 E OHIO ST ,12/21/2010,5
2722,SONYA FOOD MARKET,205 S WESTERN AVE ,03/05/2013,1
2723,SHARECOTT EDFISH,205 S WESTERN AVE ,09/11/2012,0
2724,"CAPTAIN HOOKS FISH & CHICKEN OF 87TH, INC.",205 W 87TH ST ,06/19/2012,3
2725,A & H Convenience,205 W Randolph ST ,05/24/2010,2
2726,CANDY SHOP,205 W WACKER DR ,08/01/2014,1
2727,ALL STARS ON WELLS,205 W WACKER DR ,04/17/2012,2
2728,SHRIJI CANDY STORE,205 W WACKER DR ,10/29/2010,2
2729,MEZE,205-209 N Peoria ST ,10/14/2015,1
2730,205 I.C. INC,205-209 N Peoria ST ,04/24/2012,0
2731,FIESTA GRILL,2050 N MILWAUKEE AVE ,09/22/2010,3
2732,VARGAS GRILL,2050 N MILWAUKEE AVE ,09/22/2010,0
2733,EVA'S TACO,2050 N MILWAUKEE AVE ,09/22/2010,0
2734,MON JOS,2050 N MILWAUKEE AVE ,09/22/2010,0
2735,SHAMBLES BAR,2050 W DIVISION ST ,08/01/2014,3
2736,YA MBERRY'S KITCHEN INC.,2051 E 79TH ST ,11/13/2012,2
2737,BAMBI,2051 W 47TH ST ,04/17/2014,4
2738,BAMBI,2051 W 47TH ST ,04/17/2014,0
2739,BAMBI,2051 W 47TH ST ,04/17/2014,0
2740,"STOP SHOP MINI MARKET, INC",2051 W 63RD ST ,11/02/2012,3
2741,TONY'S FOOD MART,2051 W 63RD ST ,03/24/2011,1
2742,VIC'S GRILL,2053 W 79TH ST ,09/16/2013,3
2743,MOVANIA STORES INC.,2054 W LAWRENCE AVE ,12/04/2012,1
2744,TINAJON RESTAURANT,2054 W ROSCOE ST ,09/10/2012,1
2745,BAR-B-QUE BOB'S,2055 W HOWARD ST ,09/18/2012,0
2746,TONYS MINI MART,2056 E 71ST ST ,04/16/2013,2
2747,JEFFREY FOOD & DOLLAR,2056 E 71ST ST ,04/16/2013,0
2748,ONE STOP SHOP,2056 E 71ST ST ,11/24/2010,3
2749,CRUST EAT REAL,2056-2058 W DIVISION ST ,01/08/2013,0
2750,Pizano's Pizza & Pasta On Division,2056-2058 W DIVISION ST ,02/16/2012,1
2751,SULTAN 'S  MARKET,2057 W NORTH AVE ,03/31/2011,2
2752,SULTAN 'S  MARKET,2057 W NORTH AVE ,08/16/2010,0
2753,BANH MI BA GET,2057 W ROSCOE ST ,04/09/2015,1
2754,BANH MI AND CO,2057 W ROSCOE ST ,04/17/2013,1
2755,DE BORINCUBA,2058 N CALIFORNIA AVE ,04/18/2013,2
2756,LA POBLANITA GROCERY,2058 N CALIFORNIA AVE ,04/18/2013,0
2757,CALIFORNIA FOODS,2058 N CALIFORNIA AVE ,04/18/2013,0
2758,CALIFORNIA FOODS,2058 N CALIFORNIA AVE ,04/18/2013,0
2759,CALIFORNIA FOODS,2058 N CALIFORNIA AVE ,04/09/2013,0
2760,SUPERMERCADO MOROLEON,2059 W 21ST ST ,04/27/2015,0
2761,V & V MINI MART,2059 W 21ST ST ,06/13/2012,3
2762,HOWARD FOOD,2059 W HOWARD ST ,03/03/2016,1
2763,HOWARD FOOD,2059 W HOWARD ST ,09/19/2012,4
2764,TAILGATERS GRUB,206 E 35TH ST ,09/16/2014,2
2765,OUR TAURUS FLAVORS #2,206 E 35TH ST ,06/25/2013,1
2766,"ONE STOP SHOP FOUR, INC.",206 S CICERO AVE ,12/13/2011,0
2767,BURRITO BUGGY,206 W VAN BUREN ST ,11/04/2014,0
2768,MCDONALD'S,207 E 35TH ST ,02/04/2013,0
2769,MCDONALD'S,207 E 35TH ST ,12/16/2011,2
2770,ARAMI GO!,207 E OHIO ST ,10/19/2012,2
2771,SUBWAY,207 W 79TH ST ,03/15/2012,0
2772,SUBWAY,207 W 79TH ST ,03/15/2012,0
2773,NEW CHINATOWN RESTAURANT,207 W CERMAK RD ,09/23/2014,0
2774,"TUNG WANG, INC.",207 W CERMAK RD ,01/25/2012,0
2775,NEW CHINA TOWN CHOP SUEY,207 W CERMAK RD ,01/25/2012,0
2776,PANERA BREAD,2070 N CLYBOURN AVE ,06/18/2014,3
2777,SWEET D'S DINER,208 E 51ST ST ,12/03/2013,0
2778,KK LOBBY SHOP,208 S LA SALLE ST ,05/04/2015,0
2779,ICE CHATHAM THEATRES,208-210 W 87TH ST ,02/03/2012,3
2780,ROSELAND FRESH MART INC.,209 E 103RD ST ,05/15/2014,2
2781,BUY -N- SAVE,209 E 103RD ST ,01/29/2013,1
2782,TASTE FROM INDIA,209 E 31ST ST ,10/04/2013,1
2783,EASY WAY FOOD,209 E GARFIELD BLVD ,07/03/2013,2
2784,"HOMEMADE PIZZA COMPANY, L.L.C.",209 E OHIO ST ,04/10/2014,1
2785,TONNY'S FOOD MARKET INC.,209 S LOTUS AVE ,02/06/2012,0
2786,TONNY'S FOOD MARKET,209 S LOTUS AVE ,07/12/2010,0
2787,ASIAN TEA,209 W 24TH ST ,03/14/2016,1
2788,HOLLYWOOD WINGS,209 W 95 ST ,02/24/2010,3
2789,BEST DRESSED CHICKEN & FISH,209 W 95TH ST ,08/21/2012,0
2790,JSF EAT & RUN,209 W 95TH ST ,08/21/2012,0
2791,FIREHOUSE SUBS,209 W JACKSON BLVD ,03/21/2017,0
2792,SUBWAY,209 W JACKSON BLVD ,01/05/2016,0
2793,JAMBA JUICE COMPANY,209 W JACKSON BLVD ,07/11/2012,1
2794,PANDA EXPRESS,209 W JACKSON BLVD ,11/29/2011,1
2795,AMERICA'S DOG,21 E ADAMS ST ,07/31/2012,3
2796,THE SUTTON PLACE HOTEL,21 E Bellevue PL BLDG ,02/21/2012,1
2797,STARBUCKS,21 S CLARK ST ,10/01/2013,0
2798,ROYAL BERRY,21 W ONTARIO ST ,11/05/2013,0
2799,BURRITO BEACH,210 S CANAL ST ,11/24/2015,2
2800,METRO DELI,210 S CANAL ST ,05/30/2014,1
2801,DFL MANAGMENT LLC,210 W 87TH ST ,01/08/2015,0
2802,EL CHILE VERDE,2100 W 22ND PL ,11/01/2011,1
2803,Pop's Malt Shoppe,2100 W 22ND PL ,10/01/2010,0
2804,Pop's Malt Shoppe,2100 W 22ND PL ,10/01/2010,0
2805,Pop's Malt Shoppe,2100 W 22ND PL ,10/01/2010,0
2806,BRIASSA'S DELICIAS CORP.,2100 W 22ND PL ,10/01/2010,0
2807,TAQUERIA TACO BUENO,2100 W 22ND PL ,10/01/2010,0
2808,Z & G FOOD,2100 W BARRY AVE ,05/18/2012,0
2809,SILVA'S CENTRAL BAKERY INC,2100 W CERMAK RD ,10/14/2015,0
2810,CENTRAL BAKERY,2100 W CERMAK RD ,01/27/2014,1
2811,VICTORY'S BANNER RESTAURANT,2100 W ROSCOE ST ,04/24/2013,3
2812,"LEILA'S FOOD MARKET, INC.",2100 W WASHINGTON BLVD ,02/15/2013,1
2813,GQ DOLLAR STORE,2100-2106 E 71ST ST ,05/02/2017,0
2814,DOMINICK'S # 130/1130,2101 E 71ST ST ,04/30/2013,1
2815,NIKOS PRODUCE,2101 N MILWAUKEE AVE ,12/26/2014,0
2816,TASTY PLACE,2101 S CHINA PL ,05/08/2012,0
2817,SWEET STATION,2101 S CHINA PL ,05/08/2012,0
2818,SWEET STATION,2101 S CHINA PL ,08/23/2011,1
2819,EUREST DINING SERVICES @ L'OREAL,2101 S WABASH AVE ,04/29/2013,2
2820,TAQUERIA TAPATIO,2104 S CALIFORNIA AVE ,12/11/2013,0
2821,LAO YUNNAN RESTAURANT,2109 S CHINA PL ,08/20/2015,0
2822,SPRING WORLD RESTAURANT,2109 S CHINA PL ,06/10/2010,2
2823,LIANG'S KITCHEN,2109 S WABASH AVE ,10/13/2016,0
2824,HAROLD'S CHICKEN # 71,2109 S WABASH AVE ,07/27/2015,1
2825,LIANG'S KITCHEN,2109 S WABASH AVE ,04/05/2011,4
2826,JULIUS MEINL,211 E ONTARIO ST ,09/19/2017,0
2827,FRESHBERRY,211 E ONTARIO ST ,09/10/2013,1
2828,ORGANICLIFE,211 N STETSON AVE ,07/28/2011,1
2829,K & M PRODUCES MARKET,211 W 23RD ST ,02/01/2012,3
2830,PRET A MANGER,211 W ADAMS ST ,04/25/2017,1
2831,SBARRO,211 W ADAMS ST ,05/14/2014,1
2832,SUBWAY,211 W HURON ST ,01/24/2017,0
2833,STARBUCKS COFFEE #22423,211 W SCOTT ST ,07/02/2014,1
2834,Peppers,211 W VAN BUREN ST ,06/14/2010,2
2835,DAVAAT,211 W WALTON ST ,02/24/2012,0
2836,DAAVAT RESTAURANT,211 W WALTON ST ,02/24/2012,0
2837,DAAVAT 1,211 W WALTON ST ,08/16/2011,1
2838,MILWAUKEE & CALIFORNIA PRODUCE INC.,2110 N MILWAUKEE AVE ,02/25/2015,1
2839,CAFE LAGUARDIA,2111 W ARMITAGE AVE ,06/22/2012,3
2840,HERO COFFEE BAR,2111 W ROSCOE ST ,07/29/2016,1
2841,JAMBA JUICE,2112 N CLYBOURN AVE ,09/15/2016,0
2842,JAMBA JUICE #629,2112 N CLYBOURN AVE ,05/03/2011,5
2843,STONE GRILL,2113 S STATE ST ,12/17/2015,2
2844,BIG MIKES GYROS 2,2113 S STATE ST ,02/07/2013,2
2845,CHICAGO STEAK & WINGS,2113 S STATE ST ,10/17/2011,2
2846,MI PUEBLO #1,2113 W TOUHY AVE ,02/24/2012,1
2847,D & T PIZZERIA & FAST FOOD,2113 W TOUHY AVE ,04/25/2011,0
2848,ASIAN KITCHEN,2113 W TOUHY AVE ,03/18/2011,0
2849,MI PUEBLO,2113 W TOUHY AVE ,03/18/2011,0
2850,ST PAUL OUR LADY OF VILNA,2114 W 22ND PL ,03/19/2012,1
2851,DEE'S PLACE,2114 W DIVISION ST ,07/27/2011,1
2852,"BEREKE, INC..",2114 W LAWRENCE AVE ,08/09/2017,0
2853,PETRA  INN,2114 W LAWRENCE AVE ,03/20/2013,3
2854,TACO PLACE & STEAKHOUSE,2114 W LAWRENCE AVE ,10/22/2010,3
2855,LAHORE FOOD & GRILL,2114-2116 W DEVON AVE ,09/19/2013,4
2856,LAHORE FOOD & GRILL,2114-2116 W DEVON AVE ,12/06/2011,2
2857,WASABI,2115 N MILWAUKEE AVE ,02/03/2015,1
2858,PALADAR,2115 N MILWAUKEE AVE ,08/10/2012,1
2859,PIAZZA BELLA TRATTORIA,2116 W ROSCOE ST ,05/18/2011,3
2860,RED DOOR,2118 N DAMEN AVE ,02/23/2016,1
2861,RED DOOR,2118 N DAMEN AVE ,02/16/2016,0
2862,NIGHTWOOD,2119 S HALSTED ST ,06/27/2014,2
2863,POMPEI,212 E OHIO ST ,07/30/2012,1
2864,MARILLAC SOCIAL CENTER INC.,212 S FRANCISCO AVE ,07/26/2010,1
2865,ATHENA RESTAURANT,212 S HALSTED ST ,04/28/2015,2
2866,HAPPY FISH AND CHICKEN,212 S PULASKI RD ,11/21/2013,0
2867,FAMILY TIME EATERY & SNACK SHOP,212 S PULASKI RD ,09/13/2013,0
2868,CHE-CHE RESTAUARANT,212 S PULASKI RD ,06/24/2011,2
2869,CORNER PLAYROOM,2121 N CLYBOURN AVE ,12/18/2013,0
2870,"MY CORNER PLAYROOM, INC",2121 N CLYBOURN AVE ,02/22/2011,2
2871,ARMAND'S PIZZA,2121 W DIVISION ST ,08/30/2016,1
2872,Armand's Pizzeria,2121 W DIVISION ST ,12/17/2012,3
2873,ARMANDOS EXPRESS,2121 W DIVISION ST ,12/14/2012,0
2874,MERRILL FOOD,2122 E 71ST ST ,11/03/2015,1
2875,DARKCLOUD,2122 N HALSTED ,12/14/2010,3
2876,GREATER BETHEL ACADEMY,2122 W 79TH ST ,02/08/2011,1
2877,FANTASEA,2122 W LAWRENCE AVE ,02/15/2011,4
2878,UNO DI MARTINO,2122 W LAWRENCE AVE ,02/15/2011,0
2879,CHAR BROIL HOUSE,2122 W LAWRENCE AVE ,02/15/2011,0
2880,CHICAGO MEAT & GROCERS,2122-2124 W DEVON AVE ,03/19/2012,1
