,block#,#business_with_liquor,#crimes,#arrests
298,1848,1,0,0
299,185,6,0,0
300,1855,3,0,0
301,1858,1,0,0
302,186,5,0,0
303,1864,2,0,0
304,188,3,0,0
305,189,2,0,0
306,1912,4,0,0
307,1914,1,0,0
308,1916,3,0,0
309,1921,2,0,0
310,1923,8,0,0
311,194,3,0,0
312,1947,3,0,0
313,1950,1,0,0
314,1951,1,0,0
315,1952,7,0,0
316,1953,7,0,0
317,1954,6,0,0
318,1955,8,0,0
319,1957,1,0,0
320,196,5,0,0
321,1961,11,0,0
322,1962,9,0,0
323,1963,2,0,0
324,1967,1,0,0
325,197,2,0,0
326,2,3,0,0
327,21,3,0,0
328,210,8,0,0
329,211,4,0,0
330,212,3,0,0
331,213,4,0,0
332,216,2,0,0
333,217,7,0,0
334,219,13,0,0
335,22,15,0,0
336,220,4,0,0
337,221,10,0,0
338,223,7,0,0
339,224,1,0,0
340,225,9,0,0
341,226,6,0,0
342,229,6,0,0
343,23,6,0,0
344,230,29,0,0
345,232,13,0,0
346,233,5,0,0
347,235,18,0,0
348,236,56,0,0
349,237,40,0,0
350,238,13,0,0
351,24,35,0,0
352,240,2,0,0
353,243,12,0,0
354,245,3,0,0
355,246,8,0,0
356,247,15,0,0
357,248,5,0,0
358,25,11,0,0
359,251,15,0,0
360,255,4,0,0
361,256,9,0,0
362,257,29,0,0
363,258,2,0,0
364,26,4,0,0
365,260,9,0,0
366,262,2,0,0
367,267,1,0,0
368,27,1,0,0
369,28,5,0,0
370,2011,1,0,0
371,2013,1,0,0
372,2014,2,0,0
373,2015,5,0,0
374,2017,1,0,0
375,2018,3,0,0
376,202,3,0,0
377,2021,1,0,0
378,2023,1,0,0
379,2024,1,0,0
380,2029,5,0,0
381,203,1,0,0
382,2031,1,0,0
383,2032,2,0,0
384,2033,3,0,0
385,2036,1,0,0
386,2037,1,0,0
387,204,2,0,0
388,2040,4,0,0
389,2041,1,0,0
390,2043,2,0,0
391,2046,3,0,0
392,2047,1,0,0
393,2048,1,0,0
394,205,2,0,0
395,2050,2,0,0
396,2051,3,0,0
397,2052,3,0,0
398,2053,1,0,0
399,2055,1,0,0
400,21,1,0,0
401,2114,4,0,0
402,2117,1,0,0
403,2118,4,0,0
404,212,4,0,0
405,213,3,0,0
406,2134,2,0,0
407,2136,5,0,0
408,2137,6,0,0
409,2138,1,0,0
410,214,2,0,0
411,2141,1,0,0
412,2153,2,0,0
413,2155,2,0,0
414,2156,1,0,0
415,216,4,0,0
416,2161,2,0,0
417,2168,1,0,0
418,217,2,0,0
419,2172,5,0,0
420,2173,1,0,0
421,218,1,0,0
422,2210,4,0,0
423,2211,3,0,0
424,2213,4,0,0
425,2216,4,0,0
426,2217,9,0,0
427,2218,2,0,0
428,222,1,0,0
429,2220,1,0,0
430,2221,1,0,0
431,2222,1,0,0
432,2223,5,0,0
433,2227,1,0,0
434,2228,6,0,0
435,223,1,0,0
436,2230,2,0,0
437,224,6,0,0
438,225,2,0,0
439,2251,1,0,0
440,226,2,0,0
441,227,5,0,0
442,228,1,0,0
443,229,5,0,0
444,231,9,0,0
445,2310,3,0,0
446,2311,8,0,0
447,2312,3,0,0
448,2315,1,0,0
449,2316,6,0,0
450,2317,2,0,0
451,2318,1,0,0
452,2329,11,0,0
453,233,5,0,0
454,2330,1,0,0
455,2331,7,0,0
456,2333,7,0,0
457,2334,4,0,0
458,2335,2,0,0
459,234,6,0,0
460,2340,1,0,0
461,2341,7,0,0
462,2343,2,0,0
463,2344,1,0,0
464,2347,2,0,0
465,2348,2,0,0
466,2349,1,0,0
467,2352,4,0,0
468,2354,4,0,0
469,2355,4,0,0
470,236,7,0,0
471,238,13,0,0
472,239,1,0,0
473,2412,1,0,0
474,2414,5,0,0
475,2415,1,0,0
476,2417,2,0,0
477,2420,1,0,0
478,2422,3,0,0
479,2423,2,0,0
480,2426,1,0,0
481,2427,1,0,0
482,2428,3,0,0
483,2434,2,0,0
484,244,1,0,0
485,2440,1,0,0
